Kendal Town,KEN
Bury,BURY
Wythenshawe Town,WYTT
Chadderton,CHA
Litherland REMYCA,REMY
Wythenshawe,WYTA
Barnoldswick Town,BT
West Didsbury & Chorlton,WDC
Pilkington,PIL
Irlam,IRL
Prestwich Heys,PRE
Colne,COL
Ramsbottom United,RAM
FC Isle of Man,IoM
AFC Liverpool,AFCL
Charnock Richard,CR
Lower Breck,LOW
Burscough,BUR
Glossop North End,GLO
Cheadle Town,CHT
Padiham,PAD
Longridge Town,LON
Squires Gate,SQU
Skelmersdale United,SKE
FC St Helens,FCSH
Atherton LR,ALR
Ilkley Town,ILK
Euxton Villa,EUX
Route One Rovers,ROR
Ashton Town,ASHT
Steeton,STE
South Liverpool,SLIV
Holker Old Boys,HOB
Bacup Borough,BB
Runcorn Town,RUNT
Garstang,GAR
Ashton Athletic,ASHA
Darwen FC,DAR
Daisy Hill,DAI
Shelley,SHE
AFC Blackpool,AFCB
Nelson,NEL
Market Drayton Town,MDR
Brocton,BROC
Stockport Town,STOC
Abbey Hey,ABB
Maine Road,MAIN
Ashville,ASH
Cammell Laird 1907,CAM
Barnton,BARN
Alsager Town,ALS
Abbey Hulton United,ABH
Sandbach United,SAN
Cheadle Heath Nomads,CHN
Droylsden,DRO
Eccleshall,ECC
Stockport Georgians,STG
Stafford Town,STAF
New Mills,NEW
Winsford United,WINS
